Date|1 AUD|1 BGN|1 CAD|1 CHF|1 CNY|1 CYP|1 DKK|1 EEK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|100 ISK|100 JPY|100 KRW|1 LTL|1 LVL|1 MTL|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 SKK|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2007|16.489|14.076|17.815|17.095|2.655|47.614|3.692|1.759|27.530|40.873|2.666|3.738|10.949|2.308|29.326|17.448|2.241|7.973|39.421|64.123|5.877|3.354|14.674|42.424|7.190|8.149|79.381|3.050|13.556|80.064|58.029|14.682|20.745|31.209|2.983
03.01.2007|16.486|14.027|17.746|17.027|2.654|47.444|3.683|1.755|27.460|40.657|2.663|3.725|10.930|2.311|29.702|17.405|2.239|7.953|39.338|63.890|5.903|3.334|14.611|42.399|7.175|8.174|79.179|3.045|13.528|80.016|58.321|14.746|20.733|31.191|2.992
04.01.2007|16.549|14.114|17.940|17.112|2.699|47.747|3.704|1.764|27.605|40.961|2.704|3.748|10.925|2.338|30.054|17.684|2.262|7.995|39.557|64.310|5.981|3.337|14.721|43.141|7.166|8.178|79.597|3.043|13.709|80.259|59.251|14.857|21.064|31.575|2.993
05.01.2007|16.551|14.128|17.973|17.167|2.705|47.793|3.708|1.766|27.635|40.961|2.711|3.750|10.895|2.343|29.987|17.880|2.260|8.004|39.595|64.364|6.013|3.337|14.634|43.234|7.135|8.175|80.050|3.046|13.758|80.276|59.242|14.743|21.120|31.659|2.957
08.01.2007|16.583|14.135|18.089|17.177|2.721|47.815|3.710|1.767|27.650|41.078|2.727|3.750|10.918|2.351|30.025|17.905|2.266|8.008|39.622|64.398|6.048|3.346|14.581|43.576|7.152|8.174|80.571|3.052|13.823|80.296|59.641|14.731|21.256|31.783|2.938
09.01.2007|16.550|14.111|18.015|17.111|2.717|47.737|3.702|1.764|27.600|41.181|2.719|3.747|10.909|2.347|29.835|17.779|2.259|7.993|39.550|64.302|6.044|3.344|14.684|43.608|7.150|8.155|80.122|3.034|13.798|80.384|59.002|14.780|21.202|31.702|2.941
10.01.2007|16.639|14.179|18.126|17.181|2.735|47.944|3.720|1.772|27.730|41.372|2.738|3.763|10.800|2.351|29.296|17.889|2.276|8.031|39.731|64.589|6.073|3.342|14.710|43.705|7.105|8.131|80.568|3.041|13.887|80.121|59.165|14.663|21.350|31.934|2.895
11.01.2007|16.757|14.200|18.157|17.219|2.745|48.023|3.726|1.775|27.775|41.737|2.743|3.770|10.874|2.345|29.775|17.786|2.278|8.044|39.807|64.696|6.080|3.326|14.793|43.612|7.160|8.151|80.678|3.038|13.875|80.379|59.620|14.861|21.392|31.900|2.939
12.01.2007|16.777|14.190|18.338|17.213|2.762|48.004|3.724|1.774|27.755|41.955|2.761|3.768|10.966|2.358|30.240|17.879|2.290|8.038|39.784|64.659|6.126|3.326|14.849|43.938|7.165|8.148|80.933|3.046|13.938|79.981|59.805|15.045|21.530|32.074|2.968
15.01.2007|16.825|14.197|18.379|17.216|2.753|48.002|3.726|1.775|27.765|42.170|2.751|3.770|11.013|2.354|30.513|17.802|2.286|8.041|39.804|64.678|6.119|3.335|14.904|43.933|7.175|8.187|80.769|3.057|13.915|79.716|59.726|15.042|21.457|31.966|2.976
16.01.2007|16.814|14.195|18.354|17.203|2.752|48.021|3.726|1.775|27.765|42.115|2.748|3.773|10.982|2.363|30.371|17.769|2.291|8.041|39.804|64.682|6.121|3.340|14.941|44.013|7.151|8.196|80.745|3.062|13.926|79.842|59.689|14.942|21.434|31.932|2.965
17.01.2007|16.962|14.249|18.373|17.267|2.777|48.207|3.740|1.781|27.870|42.428|2.766|3.787|10.975|2.370|30.753|17.893|2.304|8.072|39.954|64.924|6.165|3.339|14.916|44.191|7.160|8.201|81.199|3.070|14.034|79.504|60.308|15.112|21.587|32.261|2.981
18.01.2007|16.961|14.241|18.314|17.209|2.774|48.159|3.737|1.780|27.855|42.427|2.760|3.785|11.029|2.368|30.743|17.765|2.301|8.067|39.933|64.883|6.156|3.330|14.967|44.168|7.179|8.223|81.163|3.061|14.021|79.928|61.102|15.179|21.554|32.158|3.009
19.01.2007|16.872|14.194|18.279|17.163|2.755|47.992|3.725|1.775|27.765|42.292|2.743|3.764|11.022|2.360|30.812|17.671|2.288|8.041|39.804|64.682|6.121|3.318|14.901|43.811|7.209|8.208|80.747|3.044|13.941|80.176|60.906|15.130|21.424|31.991|2.995
22.01.2007|16.974|14.216|18.290|17.181|2.765|48.071|3.730|1.777|27.805|42.458|2.755|3.766|11.059|2.365|30.846|17.653|2.287|8.053|39.867|64.770|6.138|3.323|14.999|43.823|7.228|8.237|80.934|3.047|13.977|80.653|60.893|15.272|21.495|32.097|3.024
23.01.2007|16.978|14.267|18.117|17.260|2.752|48.268|3.744|1.783|27.905|42.590|2.745|3.776|11.002|2.356|31.212|17.653|2.276|8.082|40.004|64.996|6.112|3.342|15.041|43.678|7.231|8.230|80.852|3.072|13.956|80.291|61.315|15.163|21.402|32.041|3.011
24.01.2007|16.870|14.349|18.298|17.327|2.777|48.520|3.764|1.794|28.065|42.551|2.765|3.797|11.042|2.377|31.363|17.754|2.305|8.128|40.245|65.359|6.166|3.396|15.059|44.202|7.222|8.274|81.487|3.098|14.054|80.238|61.436|15.283|21.579|32.262|3.025
25.01.2007|16.916|14.393|18.410|17.428|2.792|48.675|3.776|1.799|28.150|42.751|2.778|3.814|11.058|2.385|31.584|17.944|2.317|8.153|40.356|65.593|6.195|3.427|15.237|44.346|7.224|8.294|81.829|3.102|14.122|80.006|63.506|15.289|21.687|32.420|3.022
26.01.2007|16.868|14.387|18.444|17.385|2.805|48.648|3.775|1.798|28.140|42.743|2.793|3.814|10.995|2.392|31.266|17.957|2.319|8.150|40.370|65.559|6.229|3.435|15.164|44.441|7.169|8.256|82.075|3.098|14.182|79.882|65.402|15.274|21.811|32.483|3.000
29.01.2007|16.864|14.427|18.434|17.397|2.809|48.773|3.785|1.803|28.215|42.729|2.795|3.828|10.994|2.394|31.653|17.892|2.322|8.172|40.513|65.729|6.234|3.454|15.192|44.440|7.181|8.286|82.180|3.110|14.177|79.974|64.034|15.307|21.836|32.523|2.977
30.01.2007|16.852|14.470|18.446|17.429|2.805|48.921|3.797|1.809|28.300|42.858|2.793|3.841|10.978|2.397|31.945|17.909|2.314|8.196|40.635|65.880|6.228|3.465|15.149|44.552|7.185|8.303|82.226|3.131|14.184|80.227|63.783|15.265|21.814|32.538|2.975
31.01.2007|16.773|14.399|18.377|17.364|2.796|48.661|3.778|1.800|28.160|42.462|2.784|3.824|10.944|2.389|31.795|17.906|2.310|8.156|40.439|65.536|6.210|3.454|14.847|44.470|7.169|8.264|81.872|3.111|14.139|80.091|62.914|15.321|21.737|32.423|2.991
01.02.2007|16.736|14.364|18.322|17.367|2.781|48.518|3.769|1.796|28.095|42.476|2.764|3.817|11.015|2.376|31.556|17.911|2.302|8.137|40.340|65.454|6.163|3.458|14.820|44.299|7.205|8.275|81.447|3.108|14.068|80.478|61.638|15.333|21.573|32.277|2.998
02.02.2007|16.762|14.418|18.297|17.430|2.793|48.679|3.783|1.802|28.200|42.639|2.774|3.824|11.022|2.386|31.663|17.890|2.311|8.167|40.503|65.678|6.187|3.467|14.712|44.471|7.225|8.330|81.851|3.113|14.102|80.872|62.144|15.450|21.657|32.396|3.016
05.02.2007|16.864|14.386|18.376|17.401|2.807|48.584|3.774|1.798|28.135|42.579|2.788|3.808|11.047|2.402|31.765|18.051|2.327|8.148|40.392|65.537|6.219|3.465|14.855|44.735|7.253|8.325|81.990|3.086|14.188|80.848|63.011|15.473|21.770|32.467|3.009
06.02.2007|16.867|14.382|18.355|17.468|2.799|48.577|3.773|1.798|28.125|42.755|2.780|3.806|11.138|2.398|31.824|18.075|2.327|8.146|40.395|65.500|6.210|3.467|14.808|44.761|7.279|8.354|81.832|3.078|14.160|81.456|63.245|15.534|21.709|32.426|3.019
07.02.2007|16.855|14.382|18.301|17.458|2.796|48.582|3.774|1.798|28.130|42.706|2.773|3.807|11.110|2.396|31.898|17.948|2.320|8.147|40.396|65.652|6.200|3.478|14.787|44.799|7.272|8.352|81.723|3.085|14.129|81.489|63.057|15.427|21.660|32.382|3.013
08.02.2007|16.924|14.427|18.305|17.380|2.803|48.723|3.785|1.803|28.210|42.539|2.779|3.823|11.145|2.399|31.922|17.889|2.323|8.170|40.505|65.705|6.215|3.485|14.881|44.880|7.277|8.362|82.317|3.102|14.161|81.513|63.560|15.455|21.718|32.451|3.033
09.02.2007|16.856|14.443|18.467|17.384|2.802|48.774|3.790|1.805|28.245|42.306|2.779|3.829|11.168|2.399|32.025|17.873|2.324|8.180|40.556|65.788|6.215|3.474|14.823|44.957|7.265|8.354|82.417|3.106|14.164|81.691|64.244|15.516|21.714|32.401|3.029
12.02.2007|16.897|14.467|18.645|17.422|2.816|48.866|3.797|1.809|28.300|42.502|2.795|3.848|11.110|2.415|32.052|17.916|2.329|8.196|40.635|65.914|6.250|3.496|14.943|45.180|7.215|8.333|82.694|3.106|14.191|81.556|64.794|15.467|21.836|32.530|2.993
13.02.2007|16.791|14.435|18.508|17.393|2.794|48.736|3.788|1.805|28.235|42.145|2.774|3.838|11.117|2.389|31.904|17.874|2.307|8.177|40.535|65.788|6.194|3.482|14.894|44.729|7.223|8.325|82.260|3.080|14.071|82.090|63.953|15.453|21.680|32.354|2.995
14.02.2007|16.889|14.453|18.511|17.375|2.785|48.820|3.792|1.806|28.265|42.233|2.765|3.843|11.148|2.383|32.053|17.825|2.302|8.186|40.567|65.835|6.176|3.494|14.934|44.787|7.221|8.346|82.163|3.093|14.056|82.249|64.783|15.438|21.605|32.337|2.990
15.02.2007|16.913|14.461|18.453|17.386|2.776|48.840|3.794|1.807|28.280|42.142|2.757|3.845|11.230|2.381|31.977|17.925|2.303|8.190|40.577|65.870|6.158|3.501|14.974|44.628|7.252|8.369|82.064|3.066|14.022|82.273|64.457|15.499|21.529|32.222|2.999
16.02.2007|16.911|14.443|18.516|17.426|2.779|48.787|3.790|1.806|28.250|41.971|2.756|3.841|11.185|2.379|32.053|18.076|2.300|8.182|40.534|65.820|6.165|3.512|14.984|44.887|7.230|8.368|82.048|3.049|14.056|82.350|64.474|15.520|21.534|32.312|2.997
19.02.2007|16.843|14.397|18.393|17.368|2.767|48.627|3.777|1.800|28.160|41.714|2.744|3.829|11.182|2.363|32.195|17.936|2.290|8.156|39.963|65.595|6.139|3.502|15.013|44.578|7.225|8.346|81.755|3.047|13.987|82.257|62.605|15.521|21.442|32.174|3.008
20.02.2007|16.820|14.371|18.344|17.291|2.759|48.534|3.770|1.796|28.105|41.745|2.736|3.823|11.136|2.359|32.233|17.791|2.278|8.140|39.733|65.462|6.121|3.495|14.985|44.526|7.219|8.311|81.577|3.037|13.944|81.891|63.921|15.441|21.382|32.083|3.002
21.02.2007|16.927|14.401|18.348|17.312|2.765|48.632|3.777|1.800|28.165|41.870|2.742|3.832|11.199|2.363|32.180|17.728|2.283|8.157|39.778|65.607|6.133|3.493|15.106|44.501|7.246|8.330|81.772|3.024|13.970|82.138|63.170|15.499|21.427|32.120|3.008
22.02.2007|17.002|14.438|18.561|17.341|2.780|48.754|3.787|1.805|28.235|42.023|2.758|3.846|11.221|2.373|32.395|17.759|2.295|8.177|40.013|65.779|6.164|3.501|15.210|44.605|7.283|8.347|82.090|3.031|14.044|82.342|63.459|15.595|21.544|32.242|3.051
23.02.2007|17.027|14.484|18.609|17.415|2.783|48.894|3.799|1.810|28.325|42.326|2.761|3.854|11.224|2.375|32.386|17.775|2.299|8.203|40.118|65.974|6.173|3.512|15.222|44.786|7.298|8.391|82.259|3.044|14.065|82.436|63.990|15.615|21.565|32.273|3.042
26.02.2007|17.098|14.521|18.615|17.529|2.786|48.995|3.810|1.815|28.400|42.350|2.763|3.866|11.228|2.380|32.887|17.895|2.299|8.225|40.241|66.167|6.181|3.522|15.289|44.907|7.293|8.411|82.410|3.060|14.122|82.414|63.853|15.591|21.582|32.400|3.039
27.02.2007|17.051|14.554|18.532|17.588|2.780|49.130|3.818|1.819|28.460|42.251|2.753|3.873|11.175|2.366|32.595|18.050|2.291|8.242|40.406|66.290|6.155|3.532|15.186|44.635|7.273|8.397|82.361|3.080|14.106|82.565|63.230|15.359|21.514|32.387|2.999
28.02.2007|16.885|14.469|18.364|17.538|2.769|48.854|3.797|1.809|28.300|42.014|2.742|3.851|11.114|2.346|32.166|18.088|2.275|8.196|40.082|65.931|6.115|3.487|14.999|44.124|7.223|8.332|81.967|3.050|14.019|82.158|63.100|15.134|21.422|32.249|2.960
