Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EEK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|100 ISK|100 JPY|100 KRW|1 LTL|1 LVL|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 SKK|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2008|15.809|13.478|10.140|18.165|15.951|2.461|3.536|1.685|26.360|35.557|2.298|3.594|10.410|1.914|28.676|16.094|1.916|7.634|37.722|1.647|5.422|3.301|13.907|43.599|7.318|7.345|73.304|2.797|12.474|78.440|60.032|15.392|17.950|28.333|2.632
03.01.2008|15.642|13.381|10.080|17.853|15.927|2.441|3.511|1.673|26.170|35.140|2.275|3.565|10.318|1.885|28.562|16.283|1.895|7.580|37.455|1.626|5.397|3.303|13.733|43.239|7.253|7.262|72.632|2.782|12.387|78.236|59.463|15.197|17.750|28.145|2.597
04.01.2008|15.638|13.358|10.166|17.943|15.924|2.439|3.507|1.670|26.130|35.073|2.274|3.558|10.302|1.880|28.883|16.243|1.890|7.568|37.409|1.631|5.404|3.322|13.719|43.303|7.256|7.304|72.582|2.787|12.381|78.394|59.584|15.278|17.741|28.068|2.596
07.01.2008|15.507|13.364|10.053|17.766|15.940|2.442|3.509|1.671|26.140|35.028|2.276|3.557|10.240|1.881|28.721|16.269|1.888|7.571|37.428|1.625|5.410|3.322|13.594|43.408|7.251|7.266|72.607|2.792|12.379|78.228|59.577|15.178|17.754|28.088|2.571
08.01.2008|15.628|13.359|10.126|17.737|15.903|2.445|3.507|1.670|26.125|35.085|2.277|3.557|10.263|1.879|28.580|16.208|1.891|7.566|37.444|1.633|5.430|3.311|13.682|43.570|7.267|7.273|72.597|2.785|12.411|78.196|59.702|15.311|17.761|28.092|2.584
09.01.2008|15.650|13.289|10.043|17.622|15.884|2.438|3.489|1.661|25.990|34.718|2.268|3.537|10.218|1.876|28.138|16.186|1.889|7.527|37.267|1.620|5.423|3.294|13.695|43.650|7.233|7.116|72.362|2.764|12.369|77.978|59.968|15.257|17.706|27.983|2.584
10.01.2008|15.563|13.219|9.998|17.484|15.867|2.425|3.471|1.652|25.855|34.499|2.259|3.519|10.168|1.868|27.973|16.051|1.880|7.488|37.020|1.610|5.395|3.298|13.660|43.281|7.189|7.025|71.996|2.749|12.315|77.596|59.925|15.201|17.633|27.836|2.565
11.01.2008|15.661|13.248|9.975|17.177|15.885|2.412|3.480|1.656|25.910|34.298|2.245|3.525|10.206|1.857|27.658|16.079|1.868|7.504|37.067|1.600|5.375|3.313|13.767|43.014|7.236|7.043|71.871|2.758|12.228|77.896|59.170|15.219|17.517|27.740|2.565
14.01.2008|15.627|13.227|9.976|17.054|15.906|2.396|3.475|1.653|25.870|34.040|2.226|3.520|10.203|1.842|27.217|16.111|1.853|7.492|37.005|1.589|5.340|3.306|13.723|42.837|7.223|6.964|71.562|2.753|12.148|77.751|58.568|15.092|17.368|27.504|2.578
15.01.2008|15.662|13.239|10.033|17.153|15.976|2.402|3.478|1.655|25.895|34.236|2.231|3.527|10.201|1.845|27.156|16.179|1.859|7.500|37.078|1.594|5.341|3.307|13.741|42.951|7.239|6.988|71.660|2.757|12.179|77.618|58.559|15.129|17.395|27.650|2.573
16.01.2008|15.497|13.318|9.975|17.227|16.138|2.435|3.498|1.665|26.050|34.548|2.258|3.551|10.206|1.865|27.095|16.559|1.873|7.544|37.326|1.608|5.388|3.280|13.528|43.247|7.229|7.006|72.270|2.766|12.320|77.831|59.394|15.014|17.610|27.992|2.540
17.01.2008|15.701|13.359|10.074|17.412|16.185|2.454|3.507|1.670|26.130|35.019|2.279|3.563|10.237|1.885|27.339|16.647|1.880|7.568|37.409|1.625|5.428|3.285|13.703|43.645|7.264|7.081|72.725|2.777|12.394|77.565|58.901|15.047|17.785|28.130|2.529
18.01.2008|15.644|13.356|10.041|17.388|16.181|2.458|3.505|1.670|26.125|34.918|2.281|3.562|10.199|1.884|27.378|16.567|1.888|7.566|37.407|1.630|5.442|3.269|13.654|43.741|7.221|7.109|72.721|2.771|12.410|77.580|57.344|15.087|17.802|28.143|2.537
21.01.2008|15.726|13.459|9.973|17.631|16.456|2.510|3.532|1.682|26.320|35.409|2.327|3.586|10.179|1.921|27.279|17.110|1.916|7.623|37.702|1.656|5.520|3.279|13.650|44.167|7.219|7.041|73.400|2.778|12.580|77.720|58.487|15.008|18.175|28.732|2.528
22.01.2008|15.529|13.397|9.860|17.521|16.386|2.497|3.517|1.675|26.205|35.284|2.314|3.584|10.088|1.907|27.007|17.001|1.894|7.589|37.532|1.646|5.486|3.257|13.548|43.700|7.177|6.931|72.967|2.759|12.509|77.176|58.493|14.760|18.074|28.573|2.495
