Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EEK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|100 INR|100 JPY|100 KRW|1 LTL|1 LVL|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
04.01.2010|16.558|13.444|10.556|17.586|17.682|2.677|3.534|1.681|26.300|29.508|2.356|3.606|9.746|1.956|39.530|19.678|1.581|7.617|37.079|1.409|5.379|3.196|13.305|39.818|6.409|6.224|60.696|2.580|13.064|55.032|12.282|18.275|28.636|2.490
05.01.2010|16.633|13.410|10.566|17.545|17.653|2.660|3.525|1.676|26.230|29.131|2.342|3.599|9.749|1.949|39.277|19.788|1.598|7.597|36.972|1.419|5.362|3.193|13.382|39.555|6.415|6.255|60.699|2.569|13.022|54.807|12.328|18.164|28.472|2.497
06.01.2010|16.795|13.469|10.591|17.665|17.778|2.688|3.541|1.684|26.345|29.322|2.366|3.612|9.800|1.985|40.043|19.886|1.621|7.630|37.153|1.433|5.428|3.216|13.461|39.987|6.432|6.338|61.459|2.586|13.151|55.348|12.444|18.352|28.696|2.501
07.01.2010|16.893|13.484|10.557|17.833|17.779|2.700|3.544|1.685|26.370|29.317|2.377|3.615|9.754|1.995|40.297|19.750|1.629|7.637|37.177|1.442|5.470|3.216|13.501|40.258|6.398|6.320|61.821|2.582|13.192|55.589|12.444|18.436|28.784|2.489
08.01.2010|16.854|13.455|10.547|17.801|17.765|2.701|3.537|1.682|26.315|29.453|2.377|3.608|9.773|2.001|40.310|19.730|1.631|7.621|37.100|1.446|5.458|3.221|13.448|40.257|6.405|6.317|61.677|2.574|13.179|55.588|12.506|18.436|28.766|2.475
11.01.2010|16.801|13.395|10.467|17.559|17.747|2.642|3.520|1.674|26.195|29.145|2.325|3.584|9.818|1.970|39.824|19.520|1.610|7.586|36.931|1.427|5.405|3.218|13.374|39.614|6.456|6.346|61.461|2.568|12.994|54.575|12.415|18.034|28.368|2.463
12.01.2010|16.758|13.424|10.381|17.543|17.808|2.656|3.530|1.679|26.265|29.267|2.338|3.608|9.797|1.976|39.762|19.830|1.614|7.607|37.029|1.419|5.422|3.210|13.418|39.766|6.430|6.343|61.496|2.570|13.038|54.885|12.434|18.131|28.504|2.425
13.01.2010|16.637|13.378|10.325|17.370|17.694|2.631|3.517|1.672|26.165|29.250|2.317|3.587|9.801|1.958|39.444|19.671|1.596|7.578|36.904|1.409|5.365|3.199|13.325|39.246|6.451|6.353|60.806|2.565|12.947|54.398|12.415|17.965|28.330|2.435
14.01.2010|16.706|13.313|10.174|17.428|17.594|2.633|3.501|1.665|26.045|29.243|2.318|3.570|9.737|1.962|39.403|19.593|1.604|7.543|36.750|1.409|5.383|3.190|13.332|39.317|6.416|6.308|61.024|2.559|12.952|54.668|12.316|17.978|28.289|2.418
15.01.2010|16.676|13.258|10.197|17.577|17.576|2.643|3.485|1.658|25.935|29.435|2.325|3.561|9.721|1.963|39.486|19.835|1.607|7.511|36.606|1.419|5.402|3.185|13.306|39.387|6.420|6.319|61.021|2.557|12.975|54.886|12.410|18.041|28.389|2.433
18.01.2010|16.698|13.236|10.178|17.556|17.554|2.639|3.480|1.655|25.895|29.434|2.321|3.544|9.681|1.953|39.586|19.831|1.602|7.500|36.549|1.420|5.392|3.180|13.312|39.254|6.437|6.307|60.849|2.557|12.967|54.834|12.405|18.016|28.308|2.434
19.01.2010|16.668|13.246|10.199|17.598|17.551|2.657|3.481|1.656|25.905|29.630|2.337|3.553|9.670|1.965|39.617|19.966|1.609|7.502|36.563|1.426|5.432|3.178|13.323|39.544|6.427|6.285|61.129|2.552|13.036|55.159|12.421|18.141|28.450|2.439
20.01.2010|16.741|13.237|10.255|17.527|17.537|2.683|3.479|1.655|25.890|29.785|2.358|3.550|9.623|1.971|39.861|20.122|1.615|7.498|36.542|1.443|5.444|3.183|13.217|39.753|6.435|6.272|61.630|2.559|13.100|55.580|12.485|18.316|28.725|2.441
21.01.2010|16.801|13.284|10.354|17.624|17.646|2.706|3.491|1.660|25.980|29.867|2.378|3.562|9.607|1.989|40.130|20.117|1.624|7.524|36.653|1.453|5.469|3.190|13.261|40.135|6.408|6.294|62.048|2.563|13.173|55.967|12.501|18.472|28.724|2.453
22.01.2010|16.722|13.387|10.209|17.583|17.800|2.713|3.517|1.674|26.185|29.879|2.384|3.590|9.637|1.989|40.002|20.560|1.609|7.584|36.974|1.426|5.452|3.195|13.161|40.162|6.383|6.316|62.069|2.564|13.198|56.085|12.424|18.525|28.916|2.432
25.01.2010|16.635|13.297|10.133|17.355|17.662|2.692|3.494|1.662|26.010|29.645|2.366|3.549|9.595|1.972|39.760|20.356|1.598|7.533|36.724|1.425|5.406|3.170|13.118|39.799|6.399|6.315|61.044|2.548|13.126|55.734|12.358|18.377|28.719|2.421
26.01.2010|16.633|13.344|10.104|17.437|17.725|2.715|3.506|1.668|26.100|29.892|2.384|3.579|9.570|1.976|40.320|20.663|1.593|7.559|36.854|1.435|5.414|3.163|13.094|39.787|6.380|6.322|61.078|2.540|13.200|56.074|12.366|18.531|28.909|2.434
27.01.2010|16.680|13.352|10.045|17.436|17.739|2.718|3.508|1.669|26.115|30.105|2.386|3.571|9.613|1.974|40.077|20.732|1.600|7.563|36.893|1.440|5.422|3.178|13.148|39.772|6.400|6.347|61.263|2.549|13.214|56.178|12.437|18.555|28.968|2.448
28.01.2010|16.890|13.413|10.134|17.697|17.815|2.745|3.524|1.677|26.235|30.446|2.412|3.588|9.672|2.010|40.490|20.758|1.627|7.598|37.039|1.448|5.497|3.207|13.320|40.242|6.447|6.343|61.722|2.572|13.368|56.638|12.559|18.739|29.168|2.471
29.01.2010|16.773|13.409|10.087|17.583|17.889|2.751|3.523|1.676|26.230|30.270|2.418|3.588|9.675|2.009|40.658|20.795|1.617|7.597|37.011|1.442|5.506|3.194|13.262|40.422|6.482|6.389|61.940|2.562|13.378|56.615|12.611|18.782|29.236|2.483
01.02.2010|16.551|13.326|9.973|17.537|17.701|2.745|3.501|1.666|26.065|29.790|2.412|3.563|9.603|1.996|40.397|20.754|1.602|7.549|36.779|1.437|5.486|3.179|13.178|40.198|6.511|6.377|61.688|2.570|13.266|56.446|12.567|18.734|29.022|2.474
02.02.2010|16.442|13.293|10.115|17.604|17.646|2.732|3.492|1.662|26.000|29.754|2.401|3.554|9.621|1.993|40.364|20.600|1.608|7.530|36.687|1.448|5.462|3.193|13.193|40.224|6.513|6.355|61.831|2.568|13.236|56.289|12.548|18.654|28.930|2.500
03.02.2010|16.516|13.306|10.148|17.538|17.658|2.727|3.496|1.663|26.025|29.707|2.397|3.557|9.638|2.003|40.484|20.535|1.626|7.537|36.712|1.445|5.475|3.189|13.242|40.528|6.535|6.347|62.174|2.575|13.213|56.342|12.546|18.613|28.920|2.493
04.02.2010|16.612|13.355|10.138|17.771|17.781|2.763|3.509|1.669|26.120|29.912|2.428|3.568|9.582|2.024|40.778|20.780|1.645|7.565|36.835|1.454|5.514|3.197|13.139|40.849|6.485|6.332|62.646|2.578|13.329|57.011|12.599|18.862|29.141|2.492
05.02.2010|16.545|13.385|10.168|17.811|17.830|2.802|3.516|1.673|26.180|29.981|2.461|3.575|9.559|2.037|40.923|21.372|1.634|7.582|36.941|1.451|5.552|3.185|13.179|41.099|6.405|6.324|62.728|2.556|13.443|57.568|12.596|19.121|29.542|2.479
08.02.2010|16.594|13.375|10.193|17.875|17.847|2.802|3.514|1.672|26.160|29.858|2.462|3.573|9.550|2.036|40.873|21.432|1.632|7.576|36.907|1.452|5.559|3.202|13.138|41.119|6.375|6.324|62.731|2.574|13.448|57.643|12.548|19.130|29.437|2.466
09.02.2010|16.588|13.341|10.211|17.779|17.783|2.778|3.505|1.668|26.095|29.651|2.441|3.564|9.594|2.022|40.647|21.147|1.629|7.558|36.798|1.445|5.524|3.201|13.128|40.892|6.400|6.321|62.482|2.578|13.375|57.163|12.546|18.964|29.207|2.462
10.02.2010|16.628|13.343|10.280|17.795|17.802|2.781|3.506|1.668|26.105|29.667|2.444|3.565|9.614|2.029|40.842|21.207|1.642|7.560|36.814|1.453|5.533|3.218|13.173|40.943|6.416|6.335|62.779|2.601|13.393|57.243|12.552|18.988|29.313|2.463
11.02.2010|16.833|13.297|10.278|17.942|17.732|2.775|3.494|1.662|26.010|29.639|2.440|3.552|9.618|2.023|40.768|21.140|1.641|7.533|36.665|1.450|5.531|3.213|13.248|41.059|6.456|6.337|62.867|2.612|13.422|57.175|12.532|18.959|29.231|2.465
12.02.2010|16.932|13.303|10.295|18.233|17.757|2.805|3.495|1.663|26.020|29.931|2.467|3.553|9.620|2.052|41.224|21.262|1.663|7.536|36.694|1.473|5.604|3.227|13.300|41.478|6.477|6.305|63.327|2.624|13.548|57.723|12.624|19.167|29.378|2.491
15.02.2010|16.993|13.293|10.308|18.240|17.732|2.796|3.493|1.662|26.000|29.963|2.459|3.554|9.579|2.043|41.243|21.236|1.658|7.530|36.700|1.478|5.578|3.228|13.321|41.274|6.473|6.319|63.207|2.632|13.537|57.566|12.613|19.106|29.284|2.479
16.02.2010|17.089|13.303|10.287|18.243|17.731|2.790|3.496|1.663|26.020|29.889|2.453|3.566|9.552|2.048|41.257|21.207|1.656|7.536|36.723|1.478|5.566|3.232|13.401|41.423|6.481|6.326|63.212|2.635|13.550|57.477|12.605|19.065|29.222|2.470
17.02.2010|17.068|13.255|10.317|18.123|17.661|2.765|3.483|1.657|25.925|29.831|2.432|3.552|9.569|2.038|40.975|20.792|1.653|7.508|36.555|1.473|5.574|3.238|13.369|41.064|6.518|6.294|62.948|2.641|13.460|56.978|12.545|18.890|29.097|2.487
18.02.2010|17.013|13.146|10.343|18.134|17.551|2.774|3.455|1.643|25.715|29.541|2.440|3.526|9.477|2.039|40.957|20.857|1.648|7.447|36.272|1.474|5.573|3.189|13.283|41.019|6.428|6.219|62.964|2.626|13.463|57.129|12.460|18.953|29.023|2.483
19.02.2010|16.984|13.170|10.491|18.120|17.567|2.790|3.461|1.646|25.760|29.323|2.453|3.532|9.496|2.040|41.143|20.748|1.643|7.461|36.323|1.480|5.581|3.179|13.230|41.259|6.435|6.236|63.373|2.616|13.467|57.426|12.499|19.051|29.046|2.475
22.02.2010|17.043|13.167|10.511|18.217|17.580|2.769|3.460|1.646|25.755|29.268|2.434|3.535|9.548|2.034|40.894|20.705|1.647|7.459|36.310|1.482|5.556|3.206|13.289|40.965|6.501|6.241|62.857|2.626|13.421|57.028|12.454|18.899|28.933|2.458
23.02.2010|17.117|13.189|10.450|18.202|17.583|2.783|3.465|1.649|25.795|29.313|2.448|3.540|9.561|2.045|41.113|20.942|1.655|7.471|36.367|1.481|5.601|3.216|13.311|41.131|6.497|6.255|63.204|2.635|13.489|57.447|12.373|19.000|29.060|2.471
24.02.2010|17.032|13.225|10.488|18.085|17.672|2.798|3.477|1.654|25.875|29.478|2.460|3.556|9.565|2.053|41.272|21.175|1.662|7.494|36.480|1.482|5.612|3.222|13.202|41.384|6.480|6.271|63.591|2.644|13.548|57.814|12.344|19.099|29.249|2.455
