Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 JPY|100 KRW|1 LTL|1 LVL|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
03.01.2011|19.175|12.827|11.371|18.968|20.119|2.852|3.366|25.085|29.123|2.419|3.397|9.011|2.090|5.307|42.107|23.075|1.672|7.265|35.341|1.526|6.132|3.224|14.595|42.932|6.338|5.871|61.298|2.807|14.630|62.464|12.058|18.792|28.941|2.844
04.01.2011|18.714|12.724|11.224|18.665|19.644|2.807|3.339|24.885|28.976|2.387|3.368|9.024|2.063|5.260|41.174|22.584|1.657|7.207|35.059|1.521|6.051|3.186|14.232|42.499|6.315|5.831|60.700|2.779|14.431|61.706|11.998|18.543|28.674|2.788
05.01.2011|18.811|12.706|11.308|18.811|19.705|2.858|3.337|24.870|29.293|2.422|3.368|8.976|2.095|5.312|41.462|22.784|1.670|7.203|35.227|1.534|6.135|3.192|14.384|42.982|6.383|5.826|60.773|2.785|14.579|62.365|12.139|18.822|28.990|2.793
06.01.2011|18.805|12.634|11.205|18.987|19.491|2.848|3.316|24.710|29.245|2.428|3.350|8.952|2.098|5.299|41.679|22.681|1.686|7.156|35.214|1.549|6.145|3.188|14.312|42.969|6.409|5.803|61.485|2.770|14.582|62.445|12.204|18.874|28.910|2.788
07.01.2011|18.805|12.559|11.218|19.097|19.632|2.860|3.297|24.565|29.299|2.438|3.318|8.863|2.099|5.291|41.667|22.680|1.683|7.114|35.048|1.552|6.174|3.178|14.357|42.825|6.335|5.769|61.003|2.748|14.609|62.302|12.078|18.952|28.901|2.770
10.01.2011|18.910|12.601|11.295|19.181|19.782|2.878|3.309|24.650|29.632|2.456|3.331|8.791|2.110|5.333|41.959|23.000|1.689|7.139|35.184|1.558|6.201|3.198|14.489|42.954|6.313|5.781|62.111|2.764|14.659|62.170|12.010|19.102|29.105|2.778
11.01.2011|18.686|12.550|11.231|19.117|19.578|2.864|3.295|24.545|29.506|2.437|3.315|8.790|2.096|5.346|41.973|22.814|1.685|7.109|35.009|1.554|6.171|3.176|14.385|42.982|6.313|5.764|61.994|2.766|14.635|62.125|12.010|18.957|28.944|2.767
12.01.2011|18.616|12.468|11.188|19.073|19.318|2.847|3.273|24.385|29.322|2.418|3.295|8.852|2.082|5.304|41.690|22.537|1.687|7.062|34.791|1.555|6.137|3.164|14.248|42.772|6.346|5.736|61.908|2.756|14.556|61.859|11.966|18.796|28.703|2.746
13.01.2011|18.463|12.459|11.052|18.670|19.007|2.796|3.271|24.370|29.160|2.375|3.294|8.875|2.040|5.179|40.954|22.254|1.662|7.058|34.755|1.530|6.047|3.126|14.212|41.798|6.304|5.723|61.502|2.738|14.351|60.683|11.901|18.464|28.378|2.699
14.01.2011|18.013|12.467|10.831|18.326|18.879|2.771|3.273|24.385|28.951|2.348|3.296|8.816|2.017|5.135|40.177|22.015|1.632|7.062|34.741|1.500|5.969|3.106|14.003|41.178|6.285|5.717|60.750|2.715|14.153|59.913|11.759|18.258|28.246|2.625
17.01.2011|18.202|12.444|10.886|18.523|18.930|2.773|3.267|24.340|29.110|2.351|3.292|8.861|2.018|5.152|40.135|22.144|1.640|7.049|34.677|1.520|5.978|3.127|14.162|41.165|6.285|5.715|61.044|2.730|14.204|59.819|11.846|18.284|28.285|2.637
18.01.2011|18.114|12.423|10.862|18.430|18.967|2.760|3.261|24.295|29.076|2.336|3.287|8.913|2.007|5.142|39.956|22.031|1.633|7.036|34.608|1.519|5.942|3.108|14.026|40.813|6.278|5.705|60.736|2.724|14.154|59.577|11.828|18.168|28.175|2.637
19.01.2011|18.075|12.406|10.779|18.122|18.720|2.730|3.256|24.260|28.778|2.310|3.283|8.906|1.985|5.083|39.562|21.888|1.617|7.026|34.514|1.496|5.886|3.100|13.965|40.571|6.276|5.696|60.254|2.716|14.033|59.000|11.671|17.967|27.920|2.576
20.01.2011|17.971|12.480|10.839|18.132|18.963|2.751|3.276|24.410|28.935|2.328|3.302|8.878|2.000|5.004|39.709|22.001|1.613|7.069|34.728|1.496|5.935|3.099|13.796|40.626|6.246|5.718|60.382|2.728|14.078|59.284|11.475|18.117|28.181|2.560
21.01.2011|17.778|12.418|10.746|18.028|18.665|2.729|3.259|24.290|28.636|2.307|3.285|8.858|1.983|4.945|39.386|21.715|1.604|7.035|34.527|1.489|5.868|3.078|13.620|40.301|6.269|5.698|59.955|2.711|13.988|58.535|11.399|17.966|27.930|2.517
24.01.2011|17.693|12.382|10.675|17.941|18.644|2.711|3.250|24.220|28.437|2.288|3.275|8.837|1.969|4.926|39.092|21.532|1.590|7.014|34.452|1.481|5.840|3.072|13.551|40.004|6.245|5.676|59.777|2.705|13.901|57.644|11.390|17.844|27.769|2.526
25.01.2011|17.650|12.386|10.656|17.816|18.815|2.706|3.251|24.230|28.101|2.285|3.271|8.807|1.971|4.924|38.867|21.609|1.587|7.017|34.476|1.472|5.836|3.087|13.604|39.939|6.253|5.686|59.768|2.720|13.880|57.520|11.381|17.811|27.766|2.523
26.01.2011|17.648|12.382|10.617|17.767|18.749|2.689|3.250|24.220|28.052|2.273|3.268|8.831|1.959|4.906|38.929|21.529|1.584|7.014|34.403|1.468|5.799|3.080|13.580|39.903|6.253|5.675|59.512|2.733|13.813|57.448|11.214|17.697|27.651|2.492
27.01.2011|17.507|12.395|10.578|17.754|18.730|2.685|3.252|24.240|28.197|2.269|3.271|8.888|1.958|4.843|38.748|21.276|1.589|7.020|34.359|1.473|5.789|3.060|13.669|39.975|6.218|5.681|59.621|2.741|13.806|57.345|11.191|17.671|27.638|2.496
28.01.2011|17.637|12.397|10.561|17.766|18.734|2.687|3.253|24.245|28.164|2.270|3.268|8.923|1.959|4.815|38.636|21.496|1.587|7.022|34.395|1.468|5.787|3.057|13.745|40.094|6.191|5.694|59.538|2.738|13.819|57.001|11.114|17.682|27.659|2.489
31.01.2011|17.604|12.386|10.569|17.711|18.793|2.681|3.250|24.230|28.138|2.269|3.266|8.848|1.956|4.764|38.588|21.543|1.580|7.017|34.467|1.456|5.780|3.056|13.640|39.960|6.157|5.688|59.395|2.734|13.823|57.298|11.029|17.696|27.641|2.461
01.02.2011|17.669|12.325|10.527|17.577|18.609|2.658|3.233|24.105|28.242|2.249|3.250|8.875|1.939|4.739|38.295|21.491|1.573|6.981|34.323|1.449|5.725|3.057|13.640|39.655|6.159|5.661|59.149|2.738|13.743|56.706|11.022|17.528|27.503|2.449
02.02.2011|17.649|12.335|10.506|17.689|18.660|2.666|3.236|24.125|28.316|2.245|3.251|8.948|1.938|4.749|38.368|21.457|1.569|6.987|34.391|1.456|5.744|3.059|13.670|39.756|6.168|5.666|59.331|2.723|13.738|56.654|11.060|17.481|27.479|2.445
03.02.2011|17.740|12.317|10.512|17.719|18.555|2.674|3.232|24.095|28.389|2.252|3.247|8.931|1.943|4.750|38.443|21.419|1.574|6.978|34.343|1.456|5.759|3.066|13.518|39.950|6.155|5.650|59.671|2.714|13.772|56.790|11.017|17.528|27.522|2.435
