Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 JPY|100 KRW|1 LTL|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2014|17.815|14.047|8.393|18.923|22.326|3.325|3.685|27.480|33.181|2.595|3.602|9.202|1.655|5.762|32.244|19.109|1.915|7.959|1.532|6.122|3.270|16.401|45.234|6.592|6.113|60.666|3.093|15.859|61.044|9.208|20.120|30.931|1.890
03.01.2014|18.159|14.072|8.499|19.021|22.358|3.336|3.690|27.520|33.135|2.603|3.607|9.223|1.659|5.764|32.471|19.319|1.913|7.970|1.544|6.142|3.291|16.749|45.188|6.605|6.132|60.754|3.107|15.958|61.122|9.289|20.186|30.997|1.906
06.01.2014|18.075|14.053|8.486|18.961|22.316|3.338|3.685|27.485|33.106|2.606|3.603|9.167|1.659|5.768|32.425|19.319|1.896|7.960|1.540|6.150|3.275|16.727|45.325|6.581|6.117|60.677|3.099|15.929|61.100|9.204|20.206|30.976|1.886
07.01.2014|17.971|14.040|8.519|18.826|22.204|3.327|3.681|27.460|33.043|2.596|3.599|9.132|1.645|5.754|32.311|19.278|1.883|7.953|1.542|6.129|3.275|16.690|45.046|6.573|6.107|60.621|3.101|15.850|60.838|9.290|20.131|30.898|1.896
08.01.2014|18.033|14.037|8.516|18.688|22.163|3.341|3.679|27.450|33.180|2.607|3.599|9.135|1.652|5.767|32.567|19.263|1.897|7.950|1.551|6.177|3.263|16.758|45.256|6.572|6.110|60.599|3.085|15.909|61.204|9.278|20.216|30.977|1.892
09.01.2014|17.884|14.027|8.408|18.563|22.182|3.329|3.677|27.435|33.220|2.599|3.597|9.164|1.653|5.751|32.462|19.200|1.895|7.946|1.534|6.151|3.263|16.632|45.118|6.570|6.050|60.771|3.073|15.855|61.055|9.229|20.154|30.901|1.864
10.01.2014|17.950|14.007|8.432|18.539|22.191|3.332|3.671|27.390|33.087|2.600|3.590|9.153|1.658|5.767|32.570|19.201|1.899|7.933|1.542|6.167|3.260|16.581|45.103|6.561|6.026|60.668|3.084|15.877|60.972|9.262|20.163|30.903|1.872
13.01.2014|18.203|14.012|8.530|18.418|22.205|3.323|3.672|27.405|32.923|2.590|3.596|9.171|1.667|5.756|32.643|19.398|1.900|7.937|1.544|6.158|3.278|16.795|45.046|6.596|6.056|60.620|3.089|15.874|60.878|9.219|20.084|30.882|1.869
14.01.2014|18.039|14.009|8.490|18.409|22.215|3.319|3.672|27.400|32.954|2.585|3.593|9.141|1.664|5.748|32.604|19.349|1.892|7.936|1.530|6.147|3.286|16.870|44.771|6.602|6.051|60.159|3.107|15.817|61.272|9.144|20.048|30.828|1.850
15.01.2014|17.980|14.029|8.598|18.410|22.211|3.336|3.677|27.440|33.055|2.601|3.601|9.136|1.669|5.787|32.768|19.344|1.897|7.947|1.537|6.134|3.299|16.854|44.721|6.601|6.067|60.296|3.120|15.851|61.391|9.188|20.167|30.943|1.849
16.01.2014|17.784|14.061|8.524|18.511|22.263|3.339|3.685|27.495|33.038|2.607|3.605|9.151|1.669|5.791|32.855|19.331|1.900|7.963|1.524|6.133|3.278|16.787|44.782|6.595|6.070|60.520|3.118|15.878|61.644|9.174|20.219|30.989|1.855
17.01.2014|17.770|14.039|8.561|18.431|22.260|3.342|3.679|27.455|33.238|2.607|3.599|9.132|1.672|5.791|32.851|19.369|1.906|7.952|1.520|6.132|3.276|16.701|44.839|6.593|6.057|60.221|3.122|15.874|61.556|9.113|20.218|31.005|1.859
20.01.2014|17.891|14.075|8.704|18.554|22.318|3.353|3.689|27.525|33.326|2.616|3.606|9.123|1.676|5.813|32.931|19.521|1.907|7.972|1.533|6.119|3.286|16.782|44.967|6.620|6.070|60.125|3.134|15.907|61.842|9.065|20.293|31.120|1.874
21.01.2014|17.889|14.094|8.622|18.517|22.304|3.368|3.694|27.560|33.459|2.627|3.609|9.102|1.679|5.825|32.924|19.464|1.913|7.982|1.529|6.130|3.291|16.918|44.997|6.617|6.075|59.963|3.129|15.922|61.892|9.043|20.375|31.167|1.877
22.01.2014|18.008|14.081|8.583|18.518|22.309|3.355|3.691|27.540|33.623|2.617|3.605|9.114|1.672|5.818|32.840|19.452|1.902|7.976|1.526|6.108|3.292|16.942|44.816|6.612|6.083|59.919|3.131|15.889|61.707|8.987|20.302|31.120|1.872
23.01.2014|17.691|14.057|8.491|18.091|22.319|3.331|3.684|27.490|33.455|2.598|3.597|9.054|1.657|5.783|32.548|19.363|1.878|7.962|1.509|6.052|3.299|16.738|44.528|6.595|6.069|59.150|3.137|15.762|61.307|8.853|20.158|30.978|1.838
24.01.2014|17.513|14.070|8.344|18.183|22.453|3.324|3.689|27.525|33.194|2.590|3.601|9.006|1.651|5.758|32.088|19.636|1.861|7.972|1.491|6.031|3.281|16.622|44.203|6.541|6.059|58.405|3.120|15.713|61.175|8.636|20.108|31.028|1.809
27.01.2014|17.595|14.047|8.394|18.221|22.396|3.326|3.682|27.475|33.298|2.591|3.594|9.008|1.645|5.762|31.879|19.571|1.856|7.957|1.502|6.013|3.256|16.594|44.330|6.548|6.055|58.163|3.119|15.751|61.165|8.687|20.117|30.979|1.806
28.01.2014|17.720|14.057|8.349|18.073|22.388|3.329|3.684|27.490|33.408|2.594|3.595|9.022|1.652|5.763|32.219|19.546|1.866|7.962|1.515|6.038|3.270|16.646|44.531|6.559|6.063|58.084|3.119|15.801|61.220|8.869|20.141|30.982|1.819
29.01.2014|17.723|14.082|8.304|18.151|22.470|3.342|3.690|27.540|33.495|2.607|3.602|8.960|1.664|5.797|32.424|19.710|1.891|7.976|1.520|6.063|3.263|16.753|44.714|6.537|6.094|57.696|3.129|15.879|61.493|9.042|20.237|31.155|1.816
30.01.2014|17.848|14.108|8.375|18.167|22.556|3.354|3.697|27.590|33.489|2.617|3.601|8.871|1.665|5.819|32.485|19.807|1.880|7.991|1.524|6.073|3.258|16.596|44.841|6.520|6.116|57.744|3.123|15.926|61.644|8.967|20.324|31.223|1.809
31.01.2014|17.725|14.062|8.377|18.175|22.507|3.357|3.685|27.500|33.476|2.620|3.593|8.786|1.666|5.783|32.457|19.910|1.882|7.965|1.514|6.080|3.231|16.486|44.824|6.471|6.119|57.608|3.106|15.917|61.653|8.949|20.346|31.214|1.801
03.02.2014|17.934|14.074|8.475|18.408|22.518|3.365|3.689|27.525|33.323|2.626|3.596|8.833|1.666|5.790|32.592|19.981|1.881|7.972|1.529|6.093|3.255|16.538|44.905|6.517|6.125|57.984|3.117|15.994|61.904|9.015|20.391|31.227|1.833
04.02.2014|18.115|14.075|8.437|18.389|22.538|3.360|3.689|27.530|33.206|2.622|3.595|8.901|1.669|5.766|32.563|20.084|1.879|7.973|1.520|6.123|3.231|16.612|44.936|6.548|6.188|58.018|3.120|16.048|62.145|9.052|20.362|31.198|1.831
05.02.2014|18.148|14.078|8.425|18.379|22.536|3.355|3.690|27.535|33.081|2.619|3.603|8.960|1.668|5.746|32.506|20.119|1.887|7.975|1.524|6.135|3.255|16.716|44.881|6.565|6.182|58.256|3.118|16.032|62.064|9.083|20.332|31.150|1.829
06.02.2014|18.288|14.075|8.490|18.445|22.523|3.366|3.689|27.525|33.213|2.629|3.598|8.954|1.674|5.747|32.701|20.104|1.890|7.972|1.540|6.139|3.277|16.798|45.140|6.572|6.158|58.584|3.132|16.080|62.172|9.172|20.399|31.252|1.831
07.02.2014|18.120|14.062|8.494|18.304|22.472|3.342|3.685|27.500|33.089|2.611|3.595|8.905|1.666|5.732|32.529|19.816|1.886|7.965|1.518|6.084|3.268|16.707|45.101|6.566|6.136|58.349|3.104|15.963|61.764|9.115|20.262|31.076|1.824
10.02.2014|18.054|14.085|8.440|18.286|22.519|3.334|3.692|27.545|33.127|2.604|3.601|8.860|1.659|5.736|32.352|19.782|1.884|7.978|1.519|6.054|3.296|16.709|44.876|6.590|6.155|58.106|3.114|15.910|61.553|9.107|20.199|31.044|1.816
11.02.2014|18.173|14.075|8.371|18.239|22.501|3.322|3.689|27.530|33.139|2.595|3.598|8.881|1.657|5.723|32.349|19.663|1.880|7.973|1.516|6.048|3.290|16.769|44.782|6.582|6.149|57.944|3.121|15.884|61.483|9.155|20.129|30.972|1.832
12.02.2014|18.333|14.076|8.421|18.437|22.476|3.346|3.689|27.530|33.506|2.615|3.597|8.920|1.678|5.759|32.663|19.820|1.909|7.973|1.524|6.104|3.304|16.914|45.265|6.609|6.142|58.298|3.138|16.019|62.292|9.251|20.282|31.154|1.844
13.02.2014|18.043|14.077|8.302|18.296|22.533|3.320|3.690|27.530|33.512|2.596|3.597|8.830|1.681|5.739|32.250|19.746|1.888|7.973|1.507|6.054|3.302|16.787|44.783|6.605|6.126|57.228|3.125|15.879|61.774|9.132|20.132|31.027|1.814
14.02.2014|18.080|14.029|8.355|18.272|22.450|3.300|3.677|27.435|33.443|2.581|3.584|8.879|1.693|5.701|32.323|19.671|1.883|7.946|1.510|6.051|3.284|16.752|44.897|6.612|6.118|57.056|3.101|15.871|61.955|9.158|20.018|30.909|1.832
17.02.2014|18.073|14.007|8.371|18.247|22.421|3.298|3.671|27.395|33.454|2.579|3.579|8.875|1.697|5.696|32.341|19.623|1.886|7.934|1.513|6.071|3.292|16.726|45.089|6.606|6.101|56.898|3.103|15.894|62.059|9.178|20.001|30.884|1.845
18.02.2014|18.006|14.005|8.335|18.193|22.412|3.288|3.671|27.390|33.270|2.572|3.574|8.829|1.685|5.680|32.067|19.460|1.871|7.933|1.510|6.036|3.283|16.577|44.725|6.595|6.100|56.579|3.070|15.818|61.472|9.154|19.948|30.796|1.837
19.02.2014|18.012|14.016|8.289|18.208|22.442|3.282|3.673|27.410|33.227|2.572|3.575|8.750|1.694|5.683|32.042|19.569|1.871|7.939|1.502|6.053|3.295|16.598|44.706|6.569|6.090|55.768|3.066|15.813|61.270|9.109|19.943|30.816|1.822
20.02.2014|17.935|14.002|8.368|18.030|22.441|3.284|3.670|27.385|33.318|2.576|3.571|8.733|1.691|5.684|32.103|19.571|1.863|7.931|1.499|6.042|3.275|16.541|44.622|6.551|6.053|55.746|3.056|15.782|61.296|9.050|19.980|30.827|1.803
21.02.2014|17.913|13.997|8.406|17.886|22.451|3.278|3.668|27.370|33.307|2.575|3.569|8.801|1.701|5.696|32.143|19.483|1.862|7.927|1.501|6.061|3.271|16.527|44.803|6.571|6.052|55.798|3.043|15.754|61.366|9.095|19.969|30.810|1.809
24.02.2014|17.919|13.990|8.503|17.955|22.411|3.268|3.667|27.365|33.184|2.568|3.570|8.823|1.711|5.686|32.102|19.453|1.854|7.926|1.503|6.070|3.305|16.527|44.690|6.581|6.068|56.033|3.062|15.740|61.220|9.154|19.927|30.765|1.825
25.02.2014|17.936|13.977|8.513|17.945|22.420|3.245|3.664|27.340|33.188|2.561|3.565|8.847|1.704|5.649|32.090|19.433|1.852|7.918|1.499|6.054|3.299|16.556|44.554|6.584|6.057|55.791|3.060|15.718|61.027|9.002|19.876|30.708|1.852
26.02.2014|17.877|13.974|8.500|17.943|22.406|3.251|3.662|27.330|33.212|2.566|3.569|8.806|1.711|5.656|32.124|19.452|1.868|7.915|1.502|6.090|3.290|16.559|44.643|6.566|6.050|55.227|3.061|15.738|61.145|8.973|19.912|30.759|1.843
27.02.2014|17.885|13.978|8.517|17.986|22.482|3.267|3.664|27.340|33.325|2.579|3.570|8.797|1.716|5.695|32.297|19.647|1.871|7.918|1.501|6.097|3.304|16.755|44.785|6.544|6.073|55.320|3.066|15.813|61.314|9.010|20.019|30.857|1.860
28.02.2014|17.734|13.978|8.514|17.804|22.497|3.221|3.664|27.340|33.088|2.550|3.575|8.804|1.705|5.672|32.047|19.438|1.856|7.918|1.493|6.038|3.303|16.669|44.324|6.560|6.073|54.748|3.088|15.628|60.634|8.953|19.791|30.624|1.852
03.03.2014|17.725|13.985|8.496|17.899|22.553|3.232|3.665|27.350|33.235|2.560|3.574|8.748|1.714|5.689|32.018|19.605|1.856|7.921|1.495|6.052|3.288|16.631|44.402|6.523|6.056|54.602|3.085|15.659|61.012|8.950|19.866|30.736|1.840
04.03.2014|17.778|13.992|8.486|17.950|22.482|3.235|3.667|27.365|33.181|2.561|3.576|8.796|1.714|5.694|32.110|19.516|1.855|7.926|1.495|6.061|3.317|16.674|44.385|6.536|6.056|54.997|3.088|15.665|61.322|8.965|19.874|30.750|1.835
05.03.2014|17.880|13.985|8.510|18.006|22.447|3.250|3.665|27.350|33.284|2.566|3.573|8.834|1.720|5.713|32.252|19.436|1.860|7.921|1.503|6.089|3.323|16.768|44.465|6.544|6.065|55.325|3.089|15.694|61.643|9.029|19.917|30.757|1.856
06.03.2014|18.039|13.994|8.592|18.051|22.447|3.254|3.666|27.360|33.235|2.565|3.575|8.828|1.735|5.718|32.572|19.374|1.870|7.924|1.509|6.108|3.324|16.883|44.660|6.538|6.081|54.835|3.098|15.745|61.648|9.054|19.906|30.740|1.869
07.03.2014|17.960|13.974|8.443|17.910|22.418|3.211|3.662|27.330|32.986|2.535|3.570|8.819|1.720|5.692|32.203|19.109|1.853|7.915|1.494|6.038|3.301|16.725|44.396|6.520|6.077|54.100|3.085|15.572|60.977|8.974|19.671|30.391|1.849
10.03.2014|17.804|13.979|8.451|17.731|22.425|3.209|3.664|27.340|32.792|2.538|3.571|8.753|1.733|5.664|32.365|19.070|1.846|7.918|1.494|6.001|3.301|16.666|44.266|6.508|6.078|54.024|3.081|15.539|60.837|8.896|19.696|30.500|1.832
11.03.2014|17.841|13.982|8.420|17.772|22.465|3.216|3.665|27.350|32.801|2.544|3.572|8.749|1.733|5.683|32.399|19.121|1.853|7.921|1.492|6.017|3.320|16.763|44.383|6.485|6.077|54.224|3.098|15.582|61.161|8.865|19.746|30.554|1.829
12.03.2014|17.634|13.985|8.341|17.684|22.495|3.205|3.665|27.350|32.716|2.536|3.572|8.732|1.724|5.675|32.168|19.171|1.839|7.921|1.483|5.989|3.299|16.658|44.111|6.472|6.064|53.931|3.086|15.530|60.725|8.790|19.693|30.497|1.809
13.03.2014|17.795|13.987|8.370|17.729|22.494|3.197|3.665|27.355|32.740|2.526|3.572|8.772|1.724|5.667|32.069|19.090|1.836|7.922|1.487|5.999|3.313|16.843|43.997|6.477|6.071|53.834|3.091|15.518|60.701|8.823|19.618|30.482|1.829
14.03.2014|17.777|13.986|8.330|17.769|22.563|3.204|3.665|27.355|32.698|2.537|3.574|8.698|1.735|5.684|32.197|19.451|1.839|7.923|1.482|6.008|3.293|16.808|44.084|6.448|6.061|53.690|3.084|15.571|61.039|8.812|19.703|30.557|1.831
17.03.2014|17.898|14.013|8.376|17.807|22.549|3.190|3.673|27.410|32.761|2.538|3.579|8.776|1.745|5.698|32.262|19.365|1.846|7.938|1.492|6.014|3.311|16.878|44.146|6.492|6.082|54.041|3.093|15.577|61.131|8.861|19.709|30.563|1.837
18.03.2014|17.967|14.015|8.378|17.855|22.537|3.184|3.673|27.415|32.699|2.538|3.580|8.802|1.742|5.698|32.246|19.425|1.843|7.940|1.495|6.019|3.301|16.982|43.978|6.514|6.086|54.219|3.107|15.587|61.361|8.873|19.715|30.613|1.837
19.03.2014|17.980|14.040|8.450|17.660|22.573|3.186|3.679|27.460|32.814|2.542|3.585|8.864|1.744|5.701|32.375|19.431|1.844|7.953|1.500|6.021|3.302|17.012|43.995|6.541|6.114|54.925|3.109|15.588|61.362|8.877|19.734|30.649|1.841
20.03.2014|18.022|14.053|8.516|17.730|22.554|3.208|3.683|27.490|32.945|2.573|3.588|8.805|1.745|5.733|32.562|19.519|1.854|7.962|1.504|6.060|3.283|17.017|44.096|6.541|6.117|55.291|3.103|15.643|61.595|8.929|19.975|30.844|1.827
21.03.2014|18.065|14.038|8.554|17.787|22.535|3.200|3.678|27.455|32.861|2.567|3.583|8.785|1.744|5.730|32.713|19.459|1.844|7.952|1.503|6.022|3.280|17.005|44.013|6.541|6.122|54.891|3.101|15.628|61.565|8.899|19.922|30.781|1.831
24.03.2014|18.169|14.018|8.582|17.749|22.477|3.213|3.672|27.415|32.817|2.566|3.578|8.762|1.749|5.698|32.749|19.436|1.847|7.940|1.509|6.031|3.283|17.011|44.086|6.539|6.125|55.171|3.093|15.652|61.284|8.894|19.905|30.754|1.834
25.03.2014|18.191|14.013|8.573|17.785|22.481|3.206|3.670|27.395|32.825|2.563|3.575|8.784|1.745|5.694|32.867|19.413|1.843|7.934|1.513|6.019|3.285|16.982|44.069|6.528|6.133|55.585|3.093|15.662|61.018|8.916|19.880|30.723|1.845
26.03.2014|18.380|14.036|8.635|17.826|22.473|3.205|3.677|27.450|32.937|2.565|3.581|8.791|1.744|5.705|33.087|19.429|1.851|7.950|1.516|6.035|3.295|17.137|44.360|6.567|6.138|56.108|3.083|15.701|61.062|9.019|19.900|30.749|1.862
27.03.2014|18.400|14.014|8.688|17.960|22.489|3.207|3.671|27.410|33.119|2.568|3.577|8.793|1.740|5.690|33.028|19.475|1.858|7.939|1.519|6.055|3.316|17.244|44.320|6.557|6.125|55.887|3.073|15.749|61.182|9.125|19.921|30.780|1.859
28.03.2014|18.418|14.020|8.787|18.052|22.502|3.208|3.673|27.420|33.146|2.569|3.583|8.877|1.754|5.693|33.261|19.459|1.864|7.941|1.524|6.090|3.325|17.284|44.502|6.569|6.147|55.757|3.070|15.808|61.317|9.100|19.928|30.764|1.880
31.03.2014|18.361|14.030|8.775|18.024|22.504|3.201|3.675|27.440|33.121|2.565|3.589|8.933|1.752|5.704|33.187|19.268|1.869|7.947|1.523|6.096|3.324|17.199|44.451|6.577|6.154|56.243|3.067|15.802|61.384|9.246|19.901|30.759|1.881
01.04.2014|18.387|14.036|8.765|18.012|22.543|3.207|3.677|27.450|33.105|2.566|3.589|8.920|1.760|5.726|33.168|19.260|1.880|7.950|1.523|6.100|3.336|17.259|44.462|6.570|6.147|56.665|3.085|15.791|61.494|9.257|19.906|30.759|1.878
02.04.2014|18.430|14.042|8.802|18.082|22.523|3.210|3.679|27.465|33.169|2.568|3.590|8.937|1.764|5.736|33.255|19.197|1.884|7.955|1.525|6.092|3.344|17.070|44.409|6.576|6.149|56.408|3.084|15.800|61.506|9.383|19.922|30.784|1.876
03.04.2014|18.400|14.030|8.751|18.083|22.473|3.208|3.675|27.435|33.074|2.568|3.587|8.930|1.760|5.741|33.109|19.166|1.883|7.946|1.519|6.069|3.332|16.990|44.241|6.575|6.131|56.050|3.063|15.782|61.344|9.308|19.922|30.736|1.871
04.04.2014|18.531|14.024|8.834|18.171|22.421|3.224|3.674|27.430|33.180|2.581|3.592|8.949|1.770|5.747|33.329|19.275|1.900|7.944|1.528|6.106|3.339|17.123|44.566|6.586|6.156|56.593|3.061|15.834|61.504|9.369|20.026|30.843|1.885
07.04.2014|18.523|14.033|8.899|18.195|22.490|3.219|3.676|27.445|33.182|2.579|3.596|8.936|1.769|5.726|33.267|19.376|1.894|7.949|1.533|6.112|3.330|17.174|44.545|6.574|6.146|55.994|3.058|15.850|61.572|9.433|19.999|30.832|1.896
08.04.2014|18.574|14.017|9.050|18.210|22.472|3.212|3.672|27.415|33.263|2.567|3.590|8.980|1.763|5.717|33.122|19.460|1.891|7.940|1.535|6.143|3.329|17.259|44.580|6.574|6.152|56.012|3.058|15.880|61.580|9.503|19.903|30.764|1.902
09.04.2014|18.612|14.013|9.000|18.170|22.499|3.204|3.671|27.405|33.268|2.562|3.591|8.977|1.760|5.710|33.031|19.480|1.908|7.937|1.522|6.155|3.333|17.245|44.537|6.573|6.143|55.605|3.046|15.886|61.564|9.387|19.867|30.761|1.900
10.04.2014|18.616|14.020|8.995|18.143|22.521|3.183|3.673|27.425|33.152|2.551|3.594|8.989|1.742|5.702|32.920|19.453|1.901|7.943|1.522|6.135|3.337|17.201|44.587|6.576|6.150|55.748|3.029|15.836|61.341|9.432|19.776|30.694|1.902
11.04.2014|18.585|14.041|8.952|18.037|22.575|3.186|3.676|27.450|33.109|2.552|3.602|8.942|1.734|5.706|32.884|19.510|1.911|7.950|1.511|6.114|3.322|17.151|44.463|6.562|6.147|55.335|3.024|15.835|61.258|9.318|19.789|30.726|1.884
14.04.2014|18.691|14.042|8.961|18.113|22.596|3.194|3.678|27.465|33.189|2.562|3.603|8.933|1.736|5.720|33.003|19.494|1.910|7.955|1.521|6.111|3.332|17.204|44.632|6.566|6.147|55.442|3.028|15.860|61.528|9.338|19.861|30.837|1.892
15.04.2014|18.682|14.040|8.972|18.102|22.582|3.198|3.678|27.460|33.284|2.566|3.603|8.936|1.740|5.734|33.026|19.529|1.911|7.953|1.525|6.135|3.336|17.239|44.699|6.559|6.144|55.211|3.021|15.891|61.666|9.351|19.894|30.796|1.893
16.04.2014|18.576|14.042|8.915|18.071|22.567|3.191|3.678|27.465|33.347|2.559|3.601|8.907|1.736|5.717|32.873|19.397|1.911|7.955|1.520|6.121|3.333|17.062|44.660|6.546|6.142|55.086|3.020|15.869|61.521|9.283|19.847|30.763|1.880
17.04.2014|18.553|14.060|8.860|18.033|22.590|3.192|3.683|27.500|33.366|2.560|3.607|8.936|1.738|5.711|32.921|19.425|1.911|7.965|1.520|6.130|3.320|17.090|44.772|6.558|6.161|55.263|3.019|15.884|61.665|9.318|19.850|30.790|1.885
18.04.2014|18.546|14.053|8.880|18.039|22.510|3.192|3.676|27.450|33.355|2.562|3.602|8.948|1.739|5.706|32.959|19.400|1.913|7.950|1.522|6.130|3.320|17.055|44.816|6.559|6.153|55.813|3.010|15.866|61.749|9.322|19.865|30.813|1.893
22.04.2014|18.625|14.050|8.873|18.057|22.500|3.189|3.681|27.480|33.487|2.565|3.604|8.951|1.726|5.711|32.729|19.395|1.916|7.959|1.525|6.090|3.326|17.116|44.657|6.557|6.152|55.639|3.023|15.834|61.534|9.293|19.888|30.808|1.883
23.04.2014|18.423|14.039|8.849|18.009|22.511|3.182|3.678|27.460|33.330|2.560|3.604|8.921|1.707|5.691|32.499|19.413|1.909|7.953|1.519|6.078|3.320|17.028|44.390|6.550|6.146|55.576|3.022|15.792|61.376|9.236|19.849|30.775|1.871
24.04.2014|18.402|14.031|8.965|18.010|22.488|3.178|3.676|27.445|33.343|2.561|3.601|8.918|1.712|5.710|32.493|19.380|1.910|7.949|1.519|6.075|3.315|17.018|44.365|6.548|6.153|55.640|3.026|15.789|61.324|9.318|19.857|30.758|1.877
25.04.2014|18.450|14.038|8.903|18.016|22.521|3.175|3.679|27.460|33.372|2.561|3.607|8.870|1.717|5.717|32.758|19.467|1.907|7.953|1.512|6.075|3.314|17.053|44.504|6.534|6.170|55.096|3.020|15.790|61.541|9.297|19.853|30.782|1.863
28.04.2014|18.383|14.034|8.851|17.968|22.536|3.168|3.678|27.455|33.360|2.554|3.610|8.867|1.710|5.689|32.653|19.354|1.913|7.952|1.510|6.064|3.302|16.925|44.493|6.526|6.166|54.952|3.033|15.770|61.445|9.295|19.804|30.732|1.862
29.04.2014|18.397|14.026|8.949|18.087|22.489|3.172|3.675|27.435|33.377|2.560|3.606|8.876|1.719|5.715|32.847|19.322|1.927|7.946|1.517|6.091|3.313|16.953|44.640|6.534|6.166|55.821|3.030|15.801|61.468|9.362|19.848|30.777|1.877
30.04.2014|18.368|14.039|8.791|18.064|22.503|3.168|3.678|27.455|33.353|2.557|3.609|8.923|1.715|5.718|32.874|19.323|1.919|7.952|1.513|6.078|3.319|16.960|44.518|6.533|6.171|55.489|3.026|15.780|61.255|9.368|19.828|30.727|1.878
02.05.2014|18.332|14.033|8.892|18.058|22.519|3.163|3.677|27.445|33.409|2.554|3.609|8.938|1.718|5.726|32.906|19.320|1.922|7.949|1.519|6.061|3.333|17.124|44.520|6.530|6.189|55.294|3.041|15.797|61.199|9.421|19.798|30.717|1.887
05.05.2014|18.325|14.026|8.878|18.002|22.533|3.167|3.676|27.435|33.337|2.551|3.612|8.906|1.717|5.718|32.842|19.397|1.920|7.946|1.516|6.079|3.321|17.149|44.490|6.518|6.180|55.190|3.020|15.823|61.140|9.422|19.776|30.682|1.881
06.05.2014|18.379|13.956|8.800|18.019|22.551|3.161|3.676|27.435|33.415|2.538|3.616|8.936|1.709|5.708|32.765|19.336|1.910|7.946|1.510|6.051|3.329|17.248|44.448|6.529|6.176|55.499|3.026|15.781|60.864|9.406|19.677|30.630|1.873
07.05.2014|18.390|14.019|8.836|18.084|22.502|3.158|3.674|27.420|33.414|2.540|3.613|8.964|1.701|5.707|32.788|19.351|1.925|7.941|1.512|6.055|3.334|17.099|44.435|6.529|6.190|55.741|3.030|15.763|60.806|9.412|19.689|30.650|1.874
09.05.2014|18.619|14.006|8.978|18.355|22.479|3.192|3.670|27.390|33.516|2.564|3.611|9.010|1.724|5.754|33.152|19.549|1.941|7.933|1.533|6.157|3.366|17.168|45.529|6.549|6.183|56.450|3.037|15.916|60.976|9.558|19.878|30.816|1.919
12.05.2014|18.658|14.007|8.983|18.295|22.433|3.191|3.670|27.395|33.604|2.567|3.614|9.020|1.727|5.756|33.137|19.523|1.942|7.934|1.538|6.145|3.365|17.173|45.554|6.551|6.185|56.614|3.038|15.916|61.016|9.565|19.900|30.808|1.925
