Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2017|18.538|13.815|7.889|19.212|25.228|3.719|3.634|27.020|31.738|3.328|3.577|8.731|1.916|6.702|37.899|21.981|2.138|1.244|5.756|2.984|17.894|52.112|6.123|5.949|42.144|2.831|17.797|72.082|7.288|25.819|34.710|1.881
03.01.2017|18.779|13.812|7.967|19.347|25.248|3.739|3.635|27.020|31.952|3.354|3.572|8.746|1.930|6.728|38.054|22.012|2.156|1.257|5.791|3.001|17.993|52.201|6.151|5.974|42.949|2.834|17.939|72.451|7.252|26.017|34.975|1.891
04.01.2017|18.804|13.812|7.997|19.448|25.239|3.735|3.634|27.020|31.816|3.338|3.568|8.763|1.926|6.712|38.035|22.032|2.159|1.224|5.756|3.005|17.986|52.151|6.169|5.993|42.621|2.837|17.956|72.296|7.228|25.889|34.603|1.897
05.01.2017|18.759|13.818|8.011|19.343|25.249|3.734|3.635|27.020|31.602|3.316|3.565|8.762|1.923|6.673|37.843|22.087|2.159|1.210|5.733|2.995|17.912|51.936|6.188|5.995|43.258|2.834|17.921|71.807|7.104|25.714|34.458|1.887
06.01.2017|18.716|13.813|7.971|19.244|25.193|3.689|3.634|27.020|31.543|3.290|3.566|8.794|1.909|6.652|37.529|21.995|2.142|1.199|5.705|3.007|17.924|51.706|6.204|6.003|43.063|2.829|17.810|71.533|7.054|25.516|34.317|1.874
09.01.2017|18.821|13.815|8.004|19.365|25.208|3.706|3.635|27.020|31.191|3.313|3.570|8.767|1.923|6.675|37.699|22.032|2.134|1.207|5.740|2.996|17.936|51.771|6.172|6.003|43.013|2.828|17.854|71.919|6.894|25.697|34.682|1.875
10.01.2017|18.768|13.813|8.010|19.313|25.167|3.694|3.635|27.020|31.079|3.297|3.572|8.753|1.920|6.653|37.487|21.996|2.129|1.194|5.715|2.977|17.822|51.581|6.180|6.011|42.555|2.826|17.784|71.769|6.772|25.571|34.368|1.866
11.01.2017|18.972|13.813|7.997|19.412|25.203|3.711|3.635|27.020|31.152|3.317|3.576|8.732|1.930|6.674|37.611|22.121|2.143|1.176|5.752|2.981|17.980|51.772|6.181|6.010|42.654|2.823|17.876|72.284|6.633|25.721|34.620|1.867
12.01.2017|19.019|13.813|8.010|19.373|25.150|3.669|3.635|27.020|31.111|3.262|3.586|8.797|1.904|6.621|37.216|22.202|2.152|1.171|5.675|2.981|18.034|51.035|6.174|6.016|42.675|2.842|17.785|71.595|6.702|25.300|33.982|1.883
13.01.2017|18.998|13.814|7.926|19.291|25.187|3.674|3.634|27.020|30.866|3.269|3.590|8.786|1.901|6.644|37.185|22.165|2.159|1.171|5.681|2.983|18.074|51.026|6.179|6.015|42.697|2.848|17.771|71.582|6.691|25.347|34.288|1.875
16.01.2017|19.068|13.815|7.919|19.406|25.233|3.697|3.634|27.020|30.768|3.288|3.589|8.790|1.908|6.663|37.432|22.348|2.155|1.181|5.710|2.984|18.113|51.053|6.178|6.001|42.763|2.848|17.840|71.995|6.748|25.503|34.460|1.874
17.01.2017|19.079|13.812|7.878|19.369|25.228|3.691|3.634|27.020|31.140|3.261|3.587|8.779|1.894|6.623|37.201|22.314|2.164|1.172|5.668|2.990|18.163|50.756|6.184|6.004|42.721|2.843|17.815|71.607|6.664|25.291|34.175|1.877
18.01.2017|19.122|13.815|7.864|19.319|25.238|3.706|3.634|27.020|31.105|3.266|3.587|8.775|1.899|6.644|37.196|22.321|2.162|1.168|5.700|2.991|18.208|50.762|6.187|6.014|42.711|2.834|17.803|71.732|6.691|25.335|34.373|1.868
19.01.2017|19.146|13.816|7.896|19.072|25.189|3.691|3.634|27.020|31.221|3.265|3.592|8.761|1.894|6.645|37.178|22.107|2.152|1.153|5.693|2.994|18.188|50.595|6.179|6.014|42.505|2.830|17.758|71.569|6.631|25.329|34.339|1.863
20.01.2017|19.143|13.815|7.954|19.004|25.191|3.698|3.634|27.020|31.202|3.276|3.595|8.742|1.895|6.672|37.273|22.061|2.160|1.156|5.717|3.001|18.147|50.774|6.183|6.012|42.493|2.842|17.779|71.704|6.644|25.414|34.395|1.865
23.01.2017|19.088|13.818|7.977|18.945|25.190|3.681|3.634|27.025|31.372|3.251|3.602|8.723|1.888|6.638|36.994|22.202|2.159|1.178|5.683|3.005|18.145|50.499|6.181|6.008|42.367|2.841|17.745|71.447|6.660|25.220|34.133|1.861
24.01.2017|19.032|13.815|7.950|18.939|25.163|3.667|3.633|27.020|31.294|3.241|3.601|8.709|1.886|6.641|36.922|22.179|2.158|1.181|5.669|3.016|18.191|50.503|6.179|6.004|42.449|2.845|17.722|71.399|6.678|25.141|34.142|1.882
25.01.2017|19.010|13.814|7.933|19.198|25.173|3.655|3.633|27.020|31.658|3.241|3.603|8.724|1.882|6.643|36.933|22.180|2.158|1.171|5.665|3.021|18.265|50.663|6.191|6.008|42.455|2.849|17.727|71.372|6.573|25.144|34.179|1.894
26.01.2017|19.019|13.816|7.926|19.235|25.269|3.672|3.633|27.020|31.731|3.255|3.610|8.689|1.894|6.668|37.036|22.073|2.164|1.202|5.702|3.029|18.265|50.633|6.220|6.014|41.740|2.855|17.744|71.526|6.532|25.252|34.347|1.888
27.01.2017|19.075|13.815|7.989|19.286|25.276|3.679|3.633|27.020|31.724|3.260|3.611|8.671|1.894|6.679|37.163|21.966|2.155|1.199|5.709|3.030|18.348|50.778|6.226|5.998|42.109|2.858|17.718|71.704|6.525|25.297|34.370|1.871
30.01.2017|19.155|13.815|8.111|19.323|25.324|3.697|3.633|27.020|31.803|3.277|3.614|8.695|1.905|6.716|37.412|22.191|2.158|1.223|5.736|3.044|18.423|51.081|6.241|6.004|42.373|2.863|17.803|72.069|6.663|25.421|34.458|1.870
31.01.2017|19.027|13.815|8.058|19.219|25.326|3.653|3.633|27.020|31.376|3.238|3.613|8.698|1.881|6.658|37.114|22.158|2.171|1.213|5.671|3.040|18.365|50.502|6.247|6.000|41.925|2.859|17.773|71.486|6.641|25.120|34.022|1.870
01.02.2017|18.999|13.819|7.964|19.175|25.305|3.646|3.633|27.020|31.646|3.232|3.620|8.723|1.875|6.650|37.181|22.084|2.167|1.209|5.661|3.042|18.236|50.340|6.257|5.942|41.669|2.867|17.735|71.377|6.662|25.074|34.072|1.866
02.02.2017|19.215|13.815|8.025|19.226|25.275|3.634|3.633|27.020|31.369|3.221|3.628|8.749|1.872|6.644|37.171|22.262|2.189|1.214|5.649|3.050|18.305|50.294|6.271|5.962|41.981|2.869|17.737|71.305|6.688|24.992|34.064|1.866
