Date|1 AUD|1 BGN|1 BRL|1 CAD|1 CHF|1 CNY|1 DKK|1 EUR|1 GBP|1 HKD|1 HRK|100 HUF|1000 IDR|1 ILS|100 INR|100 ISK|100 JPY|100 KRW|1 MXN|1 MYR|1 NOK|1 NZD|100 PHP|1 PLN|1 RON|100 RUB|1 SEK|1 SGD|100 THB|1 TRY|1 USD|1 XDR|1 ZAR
02.01.2019|15.825|13.167|5.862|16.566|22.912|3.295|3.448|25.750|28.558|2.884|3.470|7.988|1.564|6.030|32.196|19.303|20.725|2.014|1.150|5.461|2.598|15.105|42.987|5.994|5.526|32.448|2.521|16.553|69.949|4.212|22.594|31.423|1.560
03.01.2019|15.781|13.132|5.995|16.682|22.886|3.293|3.439|25.680|28.454|2.890|3.455|7.966|1.571|6.054|32.262|19.222|20.991|2.008|1.154|5.462|2.591|15.032|43.038|5.976|5.503|32.798|2.497|16.566|70.312|4.126|22.634|31.475|1.564
04.01.2019|15.843|13.113|5.983|16.737|22.787|3.277|3.435|25.650|28.502|2.872|3.451|7.980|1.576|6.059|32.292|19.142|20.818|2.005|1.150|5.439|2.600|15.049|42.862|5.971|5.498|33.022|2.503|16.522|70.119|4.156|22.494|31.208|1.591
07.01.2019|15.947|13.076|6.053|16.737|22.780|3.262|3.425|25.575|28.501|2.852|3.442|7.965|1.586|6.049|32.093|18.916|20.641|1.996|1.156|5.431|2.609|15.111|42.647|5.960|5.485|33.405|2.502|16.467|69.878|4.169|22.347|31.079|1.612
08.01.2019|15.988|13.109|6.023|16.858|22.830|3.271|3.434|25.640|28.572|2.860|3.450|7.960|1.585|6.061|31.953|18.839|20.603|1.990|1.157|5.443|2.623|15.067|42.688|5.955|5.488|33.427|2.517|16.492|69.863|4.083|22.416|31.221|1.599
09.01.2019|16.039|13.105|6.071|16.896|22.826|3.277|3.432|25.630|28.504|2.855|3.451|7.963|1.584|6.079|31.791|18.722|20.558|1.996|1.160|5.438|2.624|15.158|42.801|5.965|5.483|33.334|2.506|16.501|69.883|4.043|22.376|31.182|1.601
10.01.2019|15.986|13.103|6.039|16.806|22.728|3.278|3.432|25.625|28.345|2.835|3.451|7.979|1.581|6.064|31.558|18.691|20.553|1.988|1.158|5.423|2.628|15.088|42.601|5.965|5.474|33.179|2.505|16.446|69.657|4.086|22.221|30.955|1.603
11.01.2019|16.032|13.090|5.976|16.792|22.602|3.287|3.430|25.605|28.444|2.831|3.445|7.962|1.581|6.056|31.476|18.541|20.498|1.986|1.160|5.420|2.624|15.175|42.542|5.958|5.476|33.088|2.502|16.428|69.523|4.061|22.199|31.029|1.604
14.01.2019|16.030|13.066|5.982|16.790|22.706|3.295|3.424|25.560|28.635|2.842|3.439|7.955|1.578|6.094|31.466|18.455|20.627|1.985|1.163|5.437|2.612|15.197|42.663|5.954|5.460|33.177|2.494|16.462|69.798|4.042|22.290|31.191|1.605
15.01.2019|16.097|13.072|6.035|16.875|22.693|3.311|3.425|25.570|28.720|2.854|3.443|7.921|1.588|6.103|31.486|18.462|20.617|1.992|1.176|5.452|2.619|15.259|42.959|5.956|5.460|33.355|2.497|16.522|70.162|4.105|22.382|31.268|1.619
16.01.2019|16.105|13.072|6.047|16.926|22.687|3.320|3.425|25.565|28.868|2.861|3.442|7.950|1.589|6.104|31.553|18.458|20.633|2.000|1.181|5.462|2.626|15.203|42.988|5.961|5.457|33.680|2.495|16.557|70.786|4.181|22.446|31.320|1.638
17.01.2019|16.065|13.056|5.956|16.851|22.574|3.309|3.420|25.535|28.932|2.856|3.438|7.979|1.580|6.076|31.535|18.557|20.601|1.994|1.180|5.447|2.617|15.114|42.667|5.961|5.445|33.643|2.482|16.525|70.595|4.171|22.407|31.204|1.627
18.01.2019|16.136|13.077|5.990|16.898|22.573|3.312|3.427|25.580|29.027|2.860|3.443|8.041|1.582|6.071|31.542|18.563|20.498|2.000|1.178|5.455|2.631|15.187|42.640|5.959|5.443|33.824|2.495|16.541|70.721|4.187|22.432|31.262|1.627
21.01.2019|16.106|13.086|5.974|16.938|22.558|3.314|3.428|25.595|28.984|2.872|3.446|8.056|1.584|6.092|31.623|18.574|20.543|1.991|1.175|5.478|2.627|15.149|42.689|5.965|5.433|33.934|2.497|16.558|70.887|4.222|22.528|31.386|1.625
22.01.2019|16.086|13.094|6.009|16.935|22.614|3.314|3.430|25.610|29.108|2.875|3.448|8.054|1.587|6.110|31.604|18.693|20.615|1.994|1.176|5.459|2.623|15.170|42.645|5.980|5.416|33.948|2.498|16.575|70.896|4.216|22.559|31.429|1.624
23.01.2019|16.127|13.137|5.945|16.981|22.670|3.331|3.441|25.695|29.467|2.881|3.455|8.077|1.594|6.135|31.703|18.728|20.602|2.004|1.181|5.463|2.634|15.343|42.895|5.990|5.402|34.159|2.508|16.631|71.197|4.257|22.605|31.435|1.630
24.01.2019|16.094|13.136|5.995|16.955|22.773|3.336|3.442|25.695|29.508|2.888|3.456|8.071|1.600|6.152|31.860|18.907|20.650|2.006|1.189|5.469|2.641|15.359|42.893|5.992|5.384|34.374|2.498|16.655|71.412|4.290|22.659|31.546|1.644
25.01.2019|16.121|13.137|6.003|17.005|22.719|3.351|3.442|25.695|29.672|2.886|3.459|8.074|1.608|6.155|31.866|18.907|20.599|2.022|1.197|5.489|2.648|15.367|43.065|5.988|5.388|34.244|2.495|16.692|71.612|4.296|22.644|31.502|1.659
28.01.2019|16.166|13.151|6.000|17.019|22.699|3.342|3.446|25.725|29.612|2.871|3.463|8.100|1.601|6.127|31.667|18.860|20.587|2.014|1.184|5.482|2.643|15.416|42.903|6.002|5.399|34.124|2.485|16.644|71.453|4.252|22.529|31.374|1.650
29.01.2019|16.136|13.163|6.025|17.002|22.681|3.347|3.449|25.745|29.684|2.873|3.468|8.117|1.599|6.129|31.664|18.819|20.592|2.016|1.185|5.482|2.653|15.422|42.933|5.991|5.413|34.014|2.487|16.670|71.558|4.244|22.541|31.465|1.655
30.01.2019|16.242|13.192|6.088|17.076|22.629|3.362|3.456|25.800|29.547|2.878|3.475|8.151|1.598|6.156|31.719|18.832|20.627|2.019|1.182|5.497|2.662|15.425|43.164|6.013|5.425|34.249|2.484|16.711|71.931|4.280|22.579|31.547|1.660
31.01.2019|16.320|13.172|6.130|17.052|22.583|3.346|3.450|25.760|29.418|2.858|3.470|8.155|1.605|6.164|31.538|18.776|20.643|2.016|1.177|5.475|2.666|15.516|43.053|6.028|5.450|34.305|2.483|16.668|71.813|4.317|22.427|31.335|1.691
